,Question,Answer,Source
0,['What is the product identifier?'],"['Product identifier: 3M Hi-Strength Spray Adhesive 90 Product Identification Numbers LN-A100-1898-9, 70-0050-2398-4, 70-0050-2407-3, 70-0069-6895-5, 70-0069-6896-3, 70-0069-7044-9, 70-0069-7048-0']",['SECTION 1: Identification 1.1.']
1,['When was the Safety Data Sheet issued?'],"['January 5, 2017']","['SECTION 1: Identification, SECTION 15: Regulatory Information']"
2,['What is the product description?'],"['Adhesive, Hi-Strength Aerosol Adhesive']",['SECTION 1: Identification 1.2.']
3,['Who is the manufacturer of the product?'],['3M'],['1.3. Supplier’s details']
4,['What is the emergency telephone number for the product?'],['1-800-364-3577 or (651) 737-6501'],['SECTION 2: Hazard identification and SECTION 14: Transport Information']
5,['What are the hazard classifications associated with the product?'],['Flammable Aerosol: Category 1. Gas Under Pressure: Liquefied gas. Serious Eye Damage/Irritation: Category 2B. Specific Target Organ Toxicity (single exposure): Category 1. Specific Target Organ Toxicity (single exposure): Category 3.'],['Section 2: Hazard identification']
6,['What is the signal word used for the product?'],['Danger'],"['Section 1: Identification, Section 2: Hazard identification']"
7,['What are the hazard statements related to the product?'],['Hazard Statements Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],['2.1 Hazard classification']
8,['What precautions should be taken while handling the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling']
9,['What are the first aid measures in case of inhalation?'],['Remove person to fresh air. Get medical attention.'],['SECTION 4: First aid measures 4.1. Description of first aid measures']
10,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures 4.1. Description of first aid measures']
11,['What are the first aid measures in case of eye contact?'],['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If eye irritation persists: Get medical advice/attention.'],"['Section 4.1: Description of first aid measures, Eye Contact']"
