,Question,Answer,Source
0,['What is the product identifier?'],['KLEIBERIT 826.0'],['1.1. Product identifier']
1,['When was the Safety Data Sheet issued?'],['08/15/2016 / 06/17/2016'],['Page 1/6 Safety Data Sheet acc. to OSHA HCS Printing date 08/15/2016 Reviewed on 06/17/2016 Version-No. 9']
2,['What is the product description?'],['Trade name / Article No: KLEIBERIT 826.0'],['Composition/information on ingredients']
3,['Who is the manufacturer of the product?'],"['KLEBCHEMIE KLEIBERIT Adhesives USA Inc. , M.G.Becker GmbH + Co. KG']",['1.3. Details of the supplier of the safety data sheet']
4,['What is the emergency telephone number for the product?'],"['1-800-424-9300 (CHEMTREC), 1-800-451-1403 (SARA-HOTLINE)']",['1.4. Emergency telephone number: ']
5,['What are the hazard classifications associated with the product?'],"['Not classified according to CLP regulation, NFPA-ratings (0Health = 0, Fire = 1, Reactivity = 0), HMIS-ratings (HEALTH FIRE REACTIVITY 0 1 0) and not hazardous by OSHA Hazard Communication Standard']","['2.1. Classification of the substance or mixture, NFPA-ratings (scale 0 - 4) - USA: , HMIS-ratings (scale 0 - 4) - USA:']"
6,['What is the signal word used for the product?'],['Void'],['2.2. Label elements']
7,['What are the hazard statements related to the product?'],['Void'],['Hazard statements']
8,['What precautions should be taken while handling the product?'],['No special measures required.'],['Handling: 7.1. Precautions for safe handling']
9,['What are the first aid measures in case of inhalation?'],['Supply fresh air; consult doctor in case of complaints.'],['First-aid measures · 4.1. Description of first aid measures · General information: No special measures required.']
10,['What are the first aid measures in case of skin contact?'],['Generally the product does not irritate the skin.'],['4.1. Description of first aid measures']
11,['What are the first aid measures in case of eye contact?'],['Rinse opened eye for several minutes under running water'],['First-aid measures · 4.1. Description of first aid measures · After eye contact: ']
12,['What are the first aid measures in case of ingestion?'],['Rinse out mouth with plenty of water. Rinse out mouth and then drink plenty of water. Seek medical treatment.'],"['4.1. Description of first aid measures, After swallowing: ']"
13,['What are the suitable extinguishing media for a fire involving the product?'],"['CO2, extinguishing powder or water spray.']",['Fire-fighting measures · 5.1. Extinguishing media']
14,['What are the special hazards arising from the substance during a fire?'],['No further relevant information available.'],['5.2. Special hazards arising from the substance or mixture']
15,['Are there any special fire handling procedures required for the product?'],"['Suitable extinguishing agents: CO2, extinguishing powder or water spray. Fight larger fires with water spray or alcohol resistant foam.']",['Fire-fighting measures · 5.1. Extinguishing media']
16,"['How should accidental releases, spill, or leak of the product be handled?']","['Particular danger of slipping on leaked/spilled product. Absorb with liquid-binding material (sand, diatomite, acid binders, universal binders, sawdust).']","['Accidental release measures · 6.1. Personal precautions, protective equipment and emergency procedures']"
17,['What precautions should be taken for safe handling and storage of the product?'],['No special measures required for handling. Keep container tightly closed during storage.'],"['Handling: 7.1. Precautions for safe handling, Storage: 7.2. Conditions for safe storage, including any incompatibilities']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Protective gloves, Goggles recommended during refilling; The usual precautionary measures for handling chemicals should be followed.']",['Exposure controls/personal protection']
19,['What are the physical and chemical properties of the product?'],['Form: Fluid Color: Colorless Odor: Mild pH-value at 20 °C (68 °F): 6-7.5 Melting point/Melting range: -20 °C (-4 °F) Boiling point/Boiling range: 229 °C (444 °F) Setting temperature / range: 4 - 8 °C (39 - 46 °F) Flash Point: >200 °C (>392 °F) Density at 20 °C (68 °F): 1.13 g/cm³ (9.43 lbs/gal)'],['Physical and chemical properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['Stable, No dangerous reactions known']",['Stability and reactivity · 10.2. Chemical stability Stable when stored and used properly. · 10.3. Possibility of hazardous reactions No dangerous reactions known.']
21,['What are the possible hazardous decomposition products of the product?'],['No decomposition if used according to specifications.'],['10.2. Chemical stability']
