,Source(T/F),Answer(T/F),Question,Answer,Source
0,T,T,['What is the product identifier?'],['Product Name: NAPA DUTY DOT 3 BRAKE FLUID'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
1,T,T,['When was the Safety Data Sheet issued?'],"['March 5, 2014, April 2, 2015']",['Issue Date and Revised Section']
2,T,T,['What is the product description?'],['Brake Fluid'],['General Use: Brake Fluid']
3,T,T,['Who is the manufacturer of the product?'],"['Warren Unilube, Inc.']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
4,T,T,['What is the emergency telephone number for the product?'],['1-800-424-9300'],['24-HOUR EMERGENCY NUMBER – CHEMTREC']
5,T,T,['What are the hazard classifications associated with the product?'],"['Acute toxicity, dermal (Category 5), Acute toxicity, oral (Category 4), Skin Irritation (Category 3), Serious eye damage (Category 1), Reproductive toxicity (Category 2)']",['GHS Classification and Hazard Statements']
6,T,T,['What is the signal word used for the product?'],['WARNING'],['Signal Word']
7,T,T,['What are the hazard statements related to the product?'],"['H302 Harmful if swallowed, H313 May be harmful in contact with skin, H316 Causes mild skin irritation, H318 Causes serious eye damage, H361 Suspected of damaging fertility or the unborn child.']",['Hazard Statements']
8,T,T,['What precautions should be taken while handling the product?'],"['Wear protective eyeglasses or chemical safety goggles, and wear chemically protective gloves, boots, aprons, and gauntlets to prevent prolonged or repeated skin contact.']","['EYE PROTECTION, SKIN PROTECTION']"
9,T,T,['What are the first aid measures in case of inhalation?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. Consult a physician.']",['INHALATION']
10,T,T,['What are the first aid measures in case of skin contact?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice/attention.']",['SKIN']
11,F,F,['What are the first aid measures in case of eye contact?'],['Wear protective eyeglasses or chemical safety goggles.'],['EYE PROTECTION']
12,F,F,['What are the first aid measures in case of ingestion?'],['Rinse mouth with water. Consult a physician.'],"['INGESTION, SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']"
13,T,T,['What are the suitable extinguishing media for a fire involving the product?'],"['Dry chemical, foam or carbon dioxide.']",['FIRE-FIGHTING MEASURES SUITABLE EXTINGUISHING MEDIA']
14,T,T,['What are the special hazards arising from the substance during a fire?'],"['Carbon monoxide, carbon dioxide, and unidentified organic compounds.']",['HAZARDOUS COMBUSTION PRODUCTS']
15,T,T,['Are there any special fire handling procedures required for the product?'],['Evacuate area. Do not use direct water stream to extinguish fires. Do not release runoff from fire control methods to sewers or waterways.'],['FIGHTING PROCEDURES']
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']",['Contain and recover liquid when possible. Collect liquid in appropriate container or absorb with an inert material (such as vermiculite or dry sand) and place in chemical waste container. Do not use combustible materials such as sawdust for the cleanup.'],['EMERGENCY PROCEDURES : SMALL SPILLS']
17,T,T,['What precautions should be taken for safe handling and storage of the product?'],"['Store in a cool dry, ventilated area; Wear chemically protective gloves, boots, aprons and gauntlets to prevent prolonged or repeated skin contact; Seek professional advice prior to respirator selection and use.']",['SECTION 7: HANDLING AND STORAGE; RESPIATORY PROTECTION; SKIN PROTECTION']
18,T,T,['What are the exposure controls and personal protection measures recommended for the product?'],['Controls should be such that adequate ventilation is provided. Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Local exhaust ventilation is preferred because it prevents contaminant dispersion into the work place by controlling it at its source.'],['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
19,T,T,['What are the physical and chemical properties of the product?'],['Physical State: Liquid; Appearance and Color: Yellow to amber; Odor: Mild; Flash Point: >275°F (>135°C); Upper/Lower Flammability/Explosive Limits: not available; Auto Ignition Temperature: not available; Decomposition Temperature: not available; Vapor Pressure: not available; Odor Threshold: not available'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['The product is stable at room temperature in closed containers under normal storage and handling conditions.'],['SECTION 10: STABILITY AND REACTIVITY']
21,T,T,['What are the possible hazardous decomposition products of the product?'],"['Carbon monoxide, carbon dioxide and unknown organic compounds.']",['Section 10: STABILITY AND REACTIVITY']
22,T,T,['What is the toxicological information available for the product?'],"['Acute toxicity (Category 4), dermal (Category 5), Skin Irritation (Category 3), Serious eye damage (Category 1) and Reproductive toxicity (Category 2).']",['GHS Classification']
23,T,T,['What are the safety precautions and handling instructions for using the product?'],"['Use protective eyeglasses or chemical safety goggles. Wear chemically protective gloves, boots, aprons and gauntlets to prevent prolonged or repeated skin contact. Make emergency eyewash stations, safety/quick drench showers and washing facilities available in work areas.']","['EYE PROTECTION, OTHER PROTECTIVE CLOTHING OR EQUIPMENT, WORK HYGIENIC PRACTICES']"
24,T,T,['What are the potential hazards associated with the product?'],"['Acute toxicity, skin irritation, serious eye damage, reproductive toxicity, and inhalation of vapor may cause dizziness and drowsiness. Ingestion is toxic or fatal if ingested, with symptoms including nausea and vomiting, abdominal discomfort, diarrhea, sweating, confusion, cardiac abnormalities, neurological abnormalities, infrequent urination, intoxication, or CNS depression.']","['ACUTE TOXICITY, SIGNS AND SYMPTOMS OF OVEREXPOSURE, TARGET ORGAN EFFECTS']"
25,T,T,['What are the specific health effects or risks associated with exposure to the product?'],"['Target Organ Effect: Product is toxic to kidneys, liver, central nervous system and heart. Metabolic products of diethylene glycol produce acidosis and organ toxicity effects.']","['SECTION 11: TOXICOLOGICAL INFORMATION, SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']"
26,T,T,['What are the emergency procedures in case of inhalation of the product?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. Consult a physician.']",['INHALATION']
27,T,T,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']",['SKIN']
28,T,T,['What are the emergency procedures in case of eye contact with the product?'],['IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses if present and easy to do. Continue rinsing.'],['P305 + P351 + P338 IF IN EYES']
29,F,F,['What are the emergency procedures in case of ingestion of the product?'],['Contain and recover liquid when possible. Collect liquid in appropriate container or absorb with an inert material (such as vermiculite or dry sand) and place in chemical waste container. Do not wait for symptoms to develop before getting treatment.'],"['EMERGENCY PROCEDURES: SMALL SPILLS, INGESTION']"
30,T,T,['What is the waste disposal method for the product?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
31,T,T,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in a cool dry, ventilated area.']",['SECTION 7: HANDLING AND STORAGE SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
32,T,T,['What is the shelf life of the product?'],['There is no specific information about shelf life in the provided SDS.'],['N/A']
33,T,T,['What are the composition and ingredients of the product?'],"['Triethylene Glycol Monomethyl Ether 112-77-3 <5, Triethylene Glycol Monoethyl Ether 112-50-5 5-50, Triethylene Glycol Monobutyl Ether 143-22-6 5-50, Tetrathylene Glycol Monobutyl Ether 1559-34-8 5-20, Polyethylene Glycol 25322-68-3 5-20, Diethylene Glycol Monobutyl Ether 112-34-5 5-20, Diethylene Glycol 111-46-6 5-15']",['SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
34,T,T,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['None under normal handling. Hazardous polymerization will not occur. HAZARDOUS POLYMERIZATION BY-PRODUCTS: Hazardous polymerization will not occur.'],['SECTION 10: STABILITY AND REACTIVITY']
35,T,T,['What is the odor of the product?'],['Mild'],['Section 9: PHYSICAL AND CHEMICAL PROPERTIES']
36,T,T,['What is the boiling point of the product?'],['480°F (248.9°C)'],['INITIAL BOILING POINT AND BOILING RANGE']
37,T,T,['Is the product flammable?'],"['No direct information indicates flammability, but it is mentioned that water spray may be used to keep fire-exposed containers cool, dilute spills to nonflammable mixtures, protect personnel attempting to stop leaks, and disperse vapors.']",['N/A']
38,T,T,['What is the solubility of the product?'],['soluble'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
39,T,T,"['Is the product stable under certain conditions, and are there any potential decomposition products?']",['The product is stable at room temperature in closed containers under normal storage and handling conditions.'],['SECTION 10: STABILITY AND REACTIVITY']
40,T,T,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']",['Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Wear a MSHA / NIOSH approved respirator and follow OSHA respirator regulations.'],"['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS, SECTION 9: RESPIRATORY PROTECTION']"
41,T,T,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
42,T,T,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['3% of the composition of this material has been withheld as a trade secret.'],"['SECTION 4: FIRST AID MEASURE, SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']"
,40/43,40/43,,,
