,Question,Answer,Source
0,['What is the product identifier?'],['NAPA DUTY DOT 3 BRAKE FLUID'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
1,['When was the Safety Data Sheet issued?'],"['March 5, 2014']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
2,['What is the product description?'],"['Brake Fluid, Mixture of Polyalkylene glycols and other chemical substances']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
3,['Who is the manufacturer of the product?'],"['Warren Unilube, Inc.']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
4,['What is the emergency telephone number for the product?'],['1-800-424-9300'],['24-HOUR EMERGENCY NUMBER – CHEMTREC']
5,['What are the hazard classifications associated with the product?'],"['Acute toxicity, dermal (Category 5), Acute toxicity, oral (Category 4), Skin Irritation (Category 3), Serious eye damage (Category 1), Reproductive toxicity (Category 2)']",['GHS Classification']
6,['What is the signal word used for the product?'],['WARNING'],['Signal Word: WARNING']
7,['What are the hazard statements related to the product?'],['H302 Harmful if swallowed H313 May be harmful in contact with skin H316 Causes mild skin irritation H318 Causes serious eye damage H361 Suspected of damaging fertility or the unborn child'],['SECTION 2: HAZARD(S) IDENTIFICATION and GHS Classification']
8,['What precautions should be taken while handling the product?'],"['May be harmful or fatal if swallowed. Wear protective eyeglasses or chemical safety goggles, per OSHA eye-and face-protection regulations (29 CFR 1910.133). Wear chemically protective gloves, boots, aprons and gauntlets to prevent prolonged or repeated skin contact.']","['HANDLING PRECAUTIONS, EYE PROTECTION, SKIN PROTECTION']"
9,['What are the first aid measures in case of inhalation?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. Consult a physician.']",['INGHALATION: Section 5 INHALATION: SECTION 5']
10,['What are the first aid measures in case of skin contact?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']",['SKIN']
11,['What are the first aid measures in case of eye contact?'],"['Wear protective eyeglasses or chemical safety goggles, per OSHA eye-and face-protection regulations (29 CFR 1910.133). Contact lenses are not eye protective devices.']",['EYE PROTECTION']
12,['What are the first aid measures in case of ingestion?'],['Rinse mouth with water. Consult a physician.'],['INGESTION']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Dry chemical, foam or carbon dioxide']",['FIRE-FIGHTING MEASURES SUITABLE EXTINGUISHING MEDIA']
14,['What are the special hazards arising from the substance during a fire?'],"['Carbon monoxide, carbon dioxide, and unidentified organic compounds']",['UNUSUAL FIRE AND EX PLOSION HAZARDS: None known.']
15,['Are there any special fire handling procedures required for the product?'],['Evacuate area. Do not use direct water stream to extinguish fires.'],"['FIRE-FIGHTING MEASURES, SPECIAL FIRE FIGHT ING PROCEDURES']"
16,"['How should accidental releases, spill, or leak of the product be handled?']",['Contain and recover liquid when possible. Collect liquid in appropriate container or absorb with an inert material (such as vermiculite or dry sand) and place in chemical waste container. Do not use combustible materials such as sawdust for the cleanup.'],"['EMERGENCY PROCEDURES: SMALL SPILLS, EMERGENCY PROCEDURES: LARGE SPILLS']"
17,['What precautions should be taken for safe handling and storage of the product?'],"['Store in a cool dry, ventilated area. Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs.']","['HANDLING AND STORAGE HANDLING PRECAUTIONS, VENTILATION, SECTION 7: HANDLING AND STORAGE']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Local exhaust ventilation is preferred because it prevents contaminant dispersion into the workplace by controlling it at its source. Seek professional advice prior to respirator selection and use. Follow OSHA respirator regulations (29 CFR 1910.134) and, if necessary, wear a MSHA/NIOSH approved respirator. Select respirator based on its suitability to provide adequate worker protection for given working conditions, level of airborne contamination, and presence of sufficient oxygen.']",['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
19,['What are the physical and chemical properties of the product?'],"['Physical state: Liquid, Appearance and Color: Yellow to amber, Odor: Mild, Flash point: >275°F (>135°C), Upper/Lower Flammability or Explosive Limits: not available, Auto Ignition Temperature: not available, Decomposition Temperature: not available, Vapor Pressure: not available, Odor Threshold: not available']",['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['The product is stable at room temperature in closed containers under normal storage and handling conditions.'],['SECTION 10: STABILITY AND REACTIVITY']
21,['What are the possible hazardous decomposition products of the product?'],"['carbon monoxide, carbon dioxide and unknown organic compounds']",['SECTION 10: STABILITY AND REACTIVITY']
22,['What is the toxicological information available for the product?'],"['Acute toxicity, dermal (Category 5), Acute toxicity, oral (Category 4), Skin Irritation (Category 3), Serious eye damage (Category 1), Reproductive toxicity (Category 2)']",['GHS Classification']
23,['What are the safety precautions and handling instructions for using the product?'],"['May be harmful or fatal if swallowed. Store in a cool dry, ventilated area. Wear protective eyeglasses or chemical safety goggles, per OSHA eye-and face-protection regulations (29 CFR 1910.133). Wear chemically protective gloves, boots, aprons and gauntlets to prevent prolonged or repeated skin contact.']","['HANDLING AND STORAGE, EYE PROTECTION']"
24,['What are the potential hazards associated with the product?'],"['Acute toxicity, dermal; Acute toxicity, oral; Skin Irritation; Serious eye damage; Reproductive toxicity; Target organ effects including kidneys, liver, central nervous system and heart.']","[['Hazard Statements', 'TOXICOLOGICAL INFORMATION', 'TARGET ORGAN EFFECTS']]"
25,['What are the specific health effects or risks associated with exposure to the product?'],"['Severe abdominal cramping, diarrhea, vomiting, sweating, confusion, cardiac abnormalities, neurological abnormalities, infrequent urination, intoxication or CNS depression, metabolic acidosis, renal failure, hyperkalemia, hyponatremia, paralysis, cardiac failure or death']","['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION, SECTION 11: TOXICOLOGICAL INFORMATION, TARGET ORGAN EFFECTS']"
26,['What are the emergency procedures in case of inhalation of the product?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen.']","['INHALATION, Section 6: ACCIDENTAL RELEASE MEASURES']"
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']",['SKIN']
28,['What are the emergency procedures in case of eye contact with the product?'],['IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses if present and easy to do. Continue rinsing. P310 IF IN EYES: Immediately call a POISON CENTER or doctor / physician.'],"['EXPOSURE CONTROLS / PERSONAL PROTECTION, EYE PROTECTION']"
29,['What are the emergency procedures in case of ingestion of the product?'],"['If ingested, DO NOT wait for sympto ms to develop before getting treatment. Rinse mouth. P330 IF SWALLOWED: Rinse mouth.']",['EMERGENCY PROCEDURES : SMALL SPILLS/ LARGE SPILLS/ SDS – NAPA DOT 3 Brake Fluid']
30,['What is the waste disposal method for the product?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
31,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in a cool dry, ventilated area.']",['SECTION 7: HANDLING AND STORAGE / SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
32,['What is the shelf life of the product?'],['I dont know'],['SECTION 16: REGULATORY INFORMATION']
33,['What are the composition and ingredients of the product?'],['Triethylene Glycol Monomethyl Ether 112-35-6 5-50 Triethylene Glycol Monoethyl Ether 112-50-5 5-50 Triethylene Glycol Monobutyl Ether 143-22-6 5-50 Tetrathylene Glycol Monobutyl Ether 1559-34-8 5-20 Polyethylene Glycol 25322-68-3 5-20 Diethylene Glycol Monobutyl Ether 112-34-5 5-20 Diethylene Glycol 111-46-6 5-15 Diethylene Glycol Monomethyl Ether 111-77-3 <5'],['SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Hazardous polymerization will not occur. HAZARDOUS POLYMERICATION BY-PRODUCTS: Hazardous polymerization will not occur.'],['TO AVOID (POLYMERIZATION)']
35,['What is the odor of the product?'],['Mild'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
36,['What is the boiling point of the product?'],['480°F (248.9°C)'],['SECTION 9: PHYSICAL A ND CHEMICAL PROPERTIES']
37,['Is the product flammable?'],['None'],"['""STABILITY AND REACTIVITY""']"
38,['What is the solubility of the product?'],['soluble'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['stable at room temperature in closed containers under normal storage and handling conditions. Hazardous decomposition by-products include carbon monoxide, carbon dioxide, and unknown organic compounds.']",['SECTION 10: STABILITY AND REACTIVITY']
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']",['Engineering controls should be such that adequate ventilation is provided. Ventilation: Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs.'],['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],"['Some information is disclosed while others are withheld as a trade secret, with 3% of the composition being hidden.']",['SECTION 4: COMPOSITION / INFORMATION ON INGREDIENTS and SECTION 4: FIRST AID MEASURE']
