,Question,Answer,Source
0,['What is the product identifier?'],"['Product Name: NAPA DOT 3 BRAKE FLUID; Product Identification Number: Mixture, see Section 3.']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
1,['When was the Safety Data Sheet issued?'],"['March 5, 2014']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
2,['What is the product description?'],['NAPA DOT 3 Brake Fluid'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
3,['Who is the manufacturer of the product?'],"['Warren Unilube, Inc., 915 E. Jefferson, West Memphis, AR 72301""']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
4,['What is the emergency telephone number for the product?'],['1-800-424-9300'],['SECTION 1: PRODUCT A ND COMPANY IDENTIFICATION']
5,['What are the hazard classifications associated with the product?'],"['OSHA Hazards: Target Organ Effect, Harmful by ingestion, Irritant, Teratogen, Reproductive hazard. GHS Classification: Acute toxicity, dermal (Category 5) Acute toxicity, oral (Category 4) Skin Irritation (Category 3) Serious eye damage (Category 1) Reproductive toxicity (Category 2)']","['SECTION 2: HAZARD(S) IDENTIFICATION, GHS Classification']"
6,['What is the signal word used for the product?'],['WARNING'],"['SECTION 2: HAZARD(S) IDENTIFICATION, SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']"
7,['What are the hazard statements related to the product?'],"['H302, H313, H316, H318, H361']","['GHS Classification: Acute toxicity, dermal (Category 5) Acute toxicity, oral (Category 4) Skin Irritation (Category 3) Serious eye damage (Category 1) Reproductive toxicity (Category 2), Signal Word: WARNING Hazard Statements:']"
8,['What precautions should be taken while handling the product?'],"['May be harmful or fatal if swallowed. Wear protective eyeglasses or chemical safety goggles, per OSHA eye-and face-protection regulations (29 CFR 1910.133). Wear chemically protective gloves, boots, aprons and gauntlets to prevent prolonged or repeated skin contact. Never eat, drink or smoke in work areas. Practice good personal hygiene after using this material especially before eating, drinking or smoking, using the toilet, or applying cosmetics. Separate contaminate work clothes from street clothes. Launder before reuse. Remove this material from your shoes and clean personal protective equipment. Discard belts and shoes that cannot be cleaned.']","['SECTION 7: HANDLING AND STORAGE, SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']"
9,['What are the first aid measures in case of inhalation?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen.']",['INHALATION: SECTION 4']
10,['What are the first aid measures in case of skin contact?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']","['SKIN: Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']"
11,['What are the first aid measures in case of eye contact?'],['Wear protective eyeglasses or chemical safety goggles.'],['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']
12,['What are the first aid measures in case of ingestion?'],['Rinse mouth with water. Consult a physician.'],['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION INGESTION']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Dry chemical, foam or carbon dioxide. Water spray may be used to keep fire exposed containers cool, dilute spills to nonflammable mixtures, protect personnel attempting to stop leak, and disperse vapors.']",['FIRE-FIGHTING MEASURES']
14,['What are the special hazards arising from the substance during a fire?'],"['Carbon monoxide, carbon dioxide, and unidentified organic compounds.']",['HAZARDOUS COMBUSTION PRODUCTS']
15,['Are there any special fire handling procedures required for the product?'],['Evacuate area. Do not use direct water stream to extinguish fires. Do not release runoff from fire control methods to sewers or waterways.'],"['FIGHTING PROCEDURES, SPECIAL FIRE FIGHTING PROCEDURES']"
