,Question,Answer,Source
0,['What is the product identifier?'],['BioRem-2000 Surface Cleaner'],['Product and Company Identification']
1,['When was the Safety Data Sheet issued?'],['5/1/2015'],['Issue: GHS changes to Sections 2 & 3. Prepared by: J. Pickett Approved by: C. Matthews Approval Date of Issue:']
2,['What is the product description?'],"['Amber liquid Manufacturer: Emergency Telephone Clift Industries, Inc.']",['2. Product and Company Identification']
3,['Who is the manufacturer of the product?'],"['Emergency Telephone Clift Industries, Inc.']",['Product and Company Identification']
4,['What is the emergency telephone number for the product?'],['800-424-9300'],['Product and Company Identification']
5,['What are the hazard classifications associated with the product?'],"['Acute toxicity, Oral, Dermal, Inhalation Category 5 Eye Irritation, Category 2B']",['Hazards Identification']
6,['What is the signal word used for the product?'],['Warning!'],['Hazards Identification']
7,['What are the hazard statements related to the product?'],"['Maybe harmful if swallowed, in contact with skin or if inhaled. Causes eye irritation.']",['Hazards Identification']
8,['What precautions should be taken while handling the product?'],['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling.'],['Handling Precautions (section 7)']
9,['What are the first aid measures in case of inhalation?'],"['Not normally required. Move to fresh air. If symptoms persist, get medical attention.']",['4. First Aid Measures Inhalation : Not normally required.']
10,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If irritation persists, contact a physician.']",['4. First Aid Measures Skin Contact :']
11,['What are the first aid measures in case of eye contact?'],"['Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.']",['4. First Aid Measures Eye Contact :']
12,['What are the first aid measures in case of ingestion?'],['Not normally required. Contact a physician if ingested.'],['Ingestion : Not normally required. Contact a physician if ingested.']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Water spray, dry chemical or carbon dioxide']",['5. Fire Fighting Measures']
14,['What are the special hazards arising from the substance during a fire?'],['Carbon monoxide and/or carbon dioxide.'],"['5. Fire Fighting Measures, 6. Accidental Release Measures']"
15,['Are there any special fire handling procedures required for the product?'],['None required'],['5. Fire Fighting Measures']
16,"['How should accidental releases, spill, or leak of the product be handled?']","['If material is unused, collect and recover for reuse. Wear protective equipment. Not a listed hazardous waste.']",['Accidental Release Measures Spill or Leak Procedures']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling. Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']","['Handling Precautions, Storage Precautions']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],['Use adequate ventilation to keep airborne concentrations low. PERSONAL PROTECTION Eyes : Safety goggles or glass with side shields Respirator : NIOSH/MSHA approved respirator when ventilation is inadequate. Gloves : Impervious gloves.'],['Exposure Controls/Personal Protection Engineering Controls']
19,['What are the physical and chemical properties of the product?'],"['Amber liquid, Odor: Bland, pH: 7, Melting Point/Freezing Point: 32º F (0º C), Initial Boiling Point and Range: 212º F (100º C), Flash Point: None, Evaporation Rate: Not established, Flammable Limits: Not applicable, Conditions of Flammability: Non-flammable, Relative Density (H2O =1): 1.079']",['9. Physical/Chemical Characteristics']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['This is a stable material; Reacts with sodium hypochlorite or calcium hypochlorite. Incompatible Materials: Strong oxidants Conditions to Avoid: Excessive heat'],"['10. Stability and Reactivity Data, 11. Toxicological Data']"
21,['What are the possible hazardous decomposition products of the product?'],['Carbon monoxide and/or carbon dioxide'],"['5. Fire Fighting Measures, 5. Fire Fighting Measures']"
22,['What is the toxicological information available for the product?'],['Not established. None National Toxicology Program: None OSHA: None California Prop 65: No listed ingredient'],"['11. Toxicological Data, Reproduction Toxicity, Teratogenicity, Mutagenicity']"
23,['What are the safety precautions and handling instructions for using the product?'],"['Wear protective equipment. Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling. Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']","['Handling Precautions, Storage Precautions, Handling and Storage']"
24,['What are the potential hazards associated with the product?'],"['Acute toxicity, Oral, Dermal, Inhalation Category 5 Eye Irritation, Category 2B Causes eye irritation , Maybe harmful if swallowed, in contact with skin or if inhaled']","['Hazards Identification Classification : Acute toxicity, Oral, Dermal, Inhalation Category 5 Eye Irritation, Category 2B Hazard Statement: H303+H313 +H333 H320Maybe harmful if swallowed, in contact with skin or if inhaled. Causes eye irritation .']"
25,['What are the specific health effects or risks associated with exposure to the product?'],"['May be harmful if swallowed, in contact with skin or if inhaled. Causes eye irritation.']","['Hazards Identification, First Aid Measures']"
26,['What are the emergency procedures in case of inhalation of the product?'],"['Not normally required. Move to fresh air. If symptoms persist, get medical attention.']",['4. First Aid Measures']
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If irritation persists, contact a physician.']",['4. First Aid Measures']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.']",['First Aid Measures']
29,['What are the emergency procedures in case of ingestion of the product?'],['Rinse mouth. Do NOT induce vomiting.'],['Precautionary Statements Response P301+330+ 331']
30,['What is the waste disposal method for the product?'],"['Observe all federal, state and local regulations.']",['Disposal Considerations']
31,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']",['7. Handling and Storage']
32,['What is the shelf life of the product?'],"['3 years as long as the product is kept in a clean, dry environment away from direct sunlight and/or excessive heat.']",['Handling Precautions & Storage Precautions']
33,['What are the composition and ingredients of the product?'],"['Aqua (70-90%), Microbes Proprietary (1-5%), Enzymes Proprietary (1-5%), Cleaning Aid Proprietary (10-20%), Nutrients Proprietary (1-5%)']",['3. Composition/Information on Ingredients']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Reacts with sodium hypochlorite or calcium hypochlorite. Incompatible Materials: Strong oxidants.'],"['10. Stability and Reactivity Data, 7. Handling and Storage']"
35,['What is the odor of the product?'],['Bland'],['Physical/Chemical Characteristics']
36,['What is the boiling point of the product?'],['212º F (100º C)'],['9. Physical/Chemical Characteristics']
37,['Is the product flammable?'],['Non-flammable'],['Conditions of Flammability : Non-flammable.']
38,['What is the solubility of the product?'],['Soluble'],['10. Stability and Reactivity Data']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['Yes, it is stable under certain conditions. Excessive heat should be avoided.']",['Stability and Reactivity Data']
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Use adequate ventilation to keep airborne concentrations low. NIOSH/MSHA approved respirator when ventilation is inadequate, safety goggles or glass with side shields, impervious gloves.']","['Exposure Controls/Personal Protection Engineering Controls, Eyes: Safety goggles or glass with side shields Respirator: NIOSH/MSHA approved respirator when ventilation is inadequate. Gloves: Impervious gloves.']"
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Observe all federal, state and local regulations.']","['Waste Disposal Method : Observe all federal, state and local regulations.']"
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['No'],['4. Composition/Information on Ingredients']
