,Question,Answer,Source
0,['What is the product identifier?'],['3M™ Hi-Strength Spray Adhesive 90'],['SECTION 1: Identification']
1,['When was the Safety Data Sheet issued?'],['01/05/17'],"[""SECTION 3M MAKES NO WARRANTIES, EXPRESSED OR IMPLIED, INCLUDING, BUT NOT LIMITED TO, ANY IMPLIED WARRANTY OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE OR COURSE OF PERFORMANCE OR USAGE OF TRADE. User is responsible for determining whether the 3M product is fit for a particular purpose and suitable for user's method of use or application.""]"
2,['What is the product description?'],"['Adhesive, Hi-Strength Aerosol Adhesive']",['SECTION 1: Identification']
3,['Who is the manufacturer of the product?'],['3M'],"['SECTION 1: Identification, SECTION 1: Identification']"
4,['What is the emergency telephone number for the product?'],['1-800-364-3577 or (651) 737-6501'],"['SECTION 1: Identification, SECTION 2: Hazard identification, SECTION 4: First aid measures']"
5,['What are the hazard classifications associated with the product?'],['Flammable Aerosol: Category 1. Gas Under Pressure: Liquefied gas. Serious Eye Damage/Irritation: Category 2B. Simple Asphyxiant. Specific Target Organ Toxicity (single exposure): Category 1 and Category 3'],"['SECTION 2: Hazard identification, SECTION 2: Hazard identification']"
6,['What is the signal word used for the product?'],['Danger'],['2.2. Label elements']
7,['What are the hazard statements related to the product?'],['Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],['2.1. Hazard classification']
8,['What precautions should be taken while handling the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling']
9,['What are the first aid measures in case of inhalation?'],['Remove person to fresh air. Get medical attention.'],['SECTION 4: First aid measures']
10,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures']
11,['What are the first aid measures in case of eye contact?'],"['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention.']","['SECTION 4: First aid measures, Eye Contact']"
12,['What are the first aid measures in case of ingestion?'],"['Rinse mouth. If you feel unwell, get medical attention.']","['4.1. Description of first aid measures, 4.1. If Swallowed:']"
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Water fog, foam, dry chemical, carbon dioxide']",['Section 5: Fire-fighting measures']
14,['What are the special hazards arising from the substance during a fire?'],['Closed containers exposed to heat from fire may build pressure and explode. Carbon monoxide During Combustion Carbon dioxide During Combustion Irritant Vapors or Gases During Combustion'],['5.2. Special hazards arising from the substance or mixture']
15,['Are there any special fire handling procedures required for the product?'],['Use a fire fighting agent suitable for the surrounding fire. Closed containers exposed to heat from fire may build pressure and explode.'],"['SECTION 5: Fire-fighting measures, SECTION 5: Fire-fighting measures']"
16,"['How should accidental releases, spill, or leak of the product be handled?']","['If possible, seal leaking container. Place leaking containers in a well-ventilated area, preferably an operating exhaust hood, or if necessary outdoors on an impermeable surface until appropriate packaging for the leaking container or its contents is available. Close cylinder. Collect as much of the spilled material as possible using non-sparking tools. Place in a metal container approved for transportation by appropriate authorities. Dispose of collected material as soon as possible.']",['SECTION 6: Accidental release measures']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.). Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F.']","['SECTION 7: Handling and storage, SECTION 8: Exposure controls/personal protection']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Use general dilution ventilation and/or local exhaust ventilation to control airborne exposures to below relevant Exposure Limits and/or control dust/fume/gas/mist/vapors/spray. If ventilation is not adequate, use respiratory protection equipment. Select and use eye/face protection to prevent contact based on the results of an exposure assessment. Select and use gloves and/or protective clothing approved to relevant local standards to prevent skin contact based on the results of an exposure assessment.']","['SECTION 8: Exposure controls/personal protection, SECTION 9: Physical and chemical properties']"
19,['What are the physical and chemical properties of the product?'],"['Clear sweet fruity odor, Gas, Specific Physical Form: Aerosol, Odor threshold No Data Available pH No Data Available Melting point Not Applicable Boiling Point Not Applicable Flash Point -42.00 ºF Evaporation rate 1.9 Flammable Aerosol: Category 1 Vapor Pressure No Data Available Vapor Density 2.97 Density 0.726 g/ml Specific Gravity 0.726 Solubility in Water Nil Solubility- non-water No Data Available Partition coefficient: n-octanol/ water No Data Available Autoignition temperature No Data Available Decomposition temperature Not Applicable Viscosity Not Applicable Average particle size No Data Available Bulk density No Data Available Hazardous Air Pollutants 0 % weight Molecular weight No Data Available Volatile Organic Compounds <=55 % Softening point No Data Available VOC Less H2O & Exempt Solvents 398 g/l']",['SECTION 9: Physical and chemical properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['Stable, Hazardous polymerization will not occur.']","['Section 10.2. Chemical stability, Section 10.3. Possibility of hazardous reactions']"
21,['What are the possible hazardous decomposition products of the product?'],['None known'],"['SECTION 10: Stability and reactivity, SECTION 5.2 for hazardous decomposition products during combustion.']"
22,['What is the toxicological information available for the product?'],"['May be harmful if inhaled. Intentional concentration and inhalation may be harmful or fatal. Simple Asphyxiation: Signs/symptoms may include increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting, lethargy, seizures, coma, and may be fatal. Respiratory Tract Irritation: Signs/symptoms may include cough, sneezing, nasal discharge, headache, hoarseness, and nose and throat pain. May cause additional health effects (see below). Skin Contact: Mild Skin Irritation: Signs/symptoms may include localized redness, swelling, itching, and dryness. Eye Contact: Moderate Eye Irritation: Signs/symptoms may include redness, swelling, pain, tearing, and blurred or hazy vision. Ingestion: Gastrointestinal Irritation: Signs/symptoms may include abdominal pain, stomach upset, nausea, vomiting and diarrhea. May cause additional health effects (see below). Additional Health Effects: Single exposure may cause target organ effects: Central Nervous System (CNS) Depression: Signs/symptoms may include headache, dizziness, drowsiness, incoordination, nausea, slowed reaction time, slurred speech, giddiness, and unconsciousness. Cardiac Sensitization: Signs/symptoms may include irregular heartbeat (arrhythmia), faintness, chest pain, and may be fatal.']",['SECTION 11: Toxicological information']
23,['What are the safety precautions and handling instructions for using the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling']
24,['What are the potential hazards associated with the product?'],['Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],"['Hazard Statements, 2.1 Hazard classification']"
25,['What are the specific health effects or risks associated with exposure to the product?'],"['Simple Asphyxiation: increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting; Respiratory Tract Irritation: cough, sneezing, nasal discharge, headache, hoarseness, and nose and throat pain; Central Nervous System (CNS) Depression: headache, dizziness, drowsiness, incoordination, nausea, slowed reaction time, slurred speech, giddiness; Gastrointestinal Irritation: abdominal pain, stomach upset, nausea, vomiting and diarrhea']",['Signs and Symptoms of Exposure']
26,['What are the emergency procedures in case of inhalation of the product?'],['Remove person to fresh air and keep comfortable for breathing.'],['Section 4: First aid measures']
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention.']","['4. Eye Contact: Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention. SECTION 4: First aid measures']"
29,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['SECTION 4: First aid measures']
30,['What is the waste disposal method for the product?'],"['Dispose of contents/ container in accordance with the local/regional/national/international regulations. Incinerate uncured product in a permitted waste incineration facility. Dispose of completely cured (or polymerized) material in a permitted industrial waste facility. Facility must be capable of handling aerosol cans. If no other disposal options are available, waste product that has been completely cured or polymerized may be placed in a landfill properly designed for industrial waste.']",['SECTION 13: Disposal considerations']
