,Source(T/F),Answer(T/F),Question,Answer,Source
0,T,T,['What is the product identifier?'],['3M™ Hi-Strength Spray Adhesive 90'],['SECTION 1: Identification']
1,T,T,['When was the Safety Data Sheet issued?'],['01/05/17'],['SECTION 1: Identification']
2,T,T,['What is the product description?'],"['Adhesive, Hi-Strength Aerosol Adhesive']",['SECTION 1: Identification']
3,T,T,['Who is the manufacturer of the product?'],['3M DIVISION: Construction and Home Improvement Markets'],"['SECTION 1: Identification, SECTION 1.3. Supplier’s details']"
4,T,T,['What is the emergency telephone number for the product?'],['1-800-364-3577 or (651) 737-6501'],"['SECTION 1: Identification, SECTION 2: Hazard identification, SECTION 14: Transport Information, SECTION 15: Regulatory information']"
5,T,T,['What are the hazard classifications associated with the product?'],"['Flammable Aerosol: Category 1, Gas Under Pressure: Liquefied gas, Serious Eye Damage/Irritation: Category 2B, Simple Asphyxiant. Specific Target Organ Toxicity (single exposure): Category 1, Specific Target Organ Toxicity (single exposure): Category 3']",['SECTION 2: Hazard identification']
6,T,T,['What is the signal word used for the product?'],['Danger'],['2.2. Label elements']
7,T,T,['What are the hazard statements related to the product?'],['Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],['2.2. Label elements']
8,T,T,['What precautions should be taken while handling the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling']
9,T,T,['What are the first aid measures in case of inhalation?'],['Remove person to fresh air. Get medical attention.'],['SECTION 4: First aid measures']
10,T,T,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures']
11,T,T,['What are the first aid measures in case of eye contact?'],"['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention.']",['4.1. Description of first aid measures']
12,T,T,['What are the first aid measures in case of ingestion?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['SECTION 4: First aid measures']
13,F,T,['What are the suitable extinguishing media for a fire involving the product?'],"['Water fog, Foam, Dry chemical, Carbon dioxide']",['SECTION 5: Fire-fighting measures']
14,T,T,['What are the special hazards arising from the substance during a fire?'],['Closed containers exposed to heat from fire may build pressure and explode. Carbon monoxide During Combustion Carbon dioxide During Combustion Irritant Vapors or Gases During Combustion'],['5.2. Special hazards arising from the substance or mixture']
15,T,T,['Are there any special fire handling procedures required for the product?'],['Use a fire fighting agent suitable for the surrounding fire. Closed containers exposed to heat from fire may build pressure and explode.'],"['SECTION 5: Fire-fighting measures, SECTION 5.1. Suitable extinguishing media, SECTION 5.2. Special hazards arising from the substance or mixture']"
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']","['If possible, seal leaking container. Place leaking containers in a well-ventilated area, preferably an operating exhaust hood, or if necessary outdoors on an impermeable surface until appropriate packaging for the leaking container or its contents is available. Close cylinder. Collect as much of the spilled material as possible using non-sparking tools. Place in a metal container approved for transportation by appropriate authorities. Dispose of collected material as soon as possible.']","['SECTION 6: Accidental release measures, SECTION 3: Composition/information on ingredients']"
17,T,T,['What precautions should be taken for safe handling and storage of the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.). Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F. Protect from sunlight. Store away from heat. Store away from acids. Store away from oxidizing agents.']","['SECTION 7: Handling and storage, SECTION 8: Exposure controls/personal protection']"
18,T,T,['What are the exposure controls and personal protection measures recommended for the product?'],"['Use general dilution ventilation and/or local exhaust ventilation to control airborne exposures to below relevant Exposure Limits and/or control dust/fume/gas/mist/vapors/spray. Select and use eye/face protection to prevent contact based on the results of an exposure assessment. Use gloves and/or protective clothing approved to relevant local standards to prevent skin contact based on the results of an exposure assessment. If ventilation is not adequate, use respiratory protection equipment.']","['SECTION 8: Exposure controls/personal protection, SECTION 9: Physical and chemical properties']"
19,T,T,['What are the physical and chemical properties of the product?'],"['Clear sweet fruity odor, Density 0.726 g/ml, Specific Gravity 0.726, Vapor Pressure No Data Available, Flash Point -42.00 ºF']",['SECTION 9: Physical and chemical properties']
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['Stable, Hazardous polymerization will not occur']","['10.2. Chemical stability, 10.3. Possibility of hazardous reactions']"
21,T,T,['What are the possible hazardous decomposition products of the product?'],['None known.'],['SECTION 10: Stability and reactivity']
22,T,T,['What is the toxicological information available for the product?'],"['This material may produce signs/symptoms such as: redness, swelling, pain, tearing, and blurred or hazy vision for eye contact; abdominal pain, stomach upset, nausea, vomiting and diarrhea for ingestion; cough, sneezing, nasal discharge, headache, hoarsiness, nose and throat pain for respiratory tract irritation; headache, dizziness, drowsiness, incoordination, nausea, slowed reaction time, slurred speech, giddiness, and unconsciousness for central nervous system depression; irregular heartbeat (arrhythmia), faintness, chest pain for cardiac sensitization.']",['SECTION 11: Toxicological information']
23,T,T,['What are the safety precautions and handling instructions for using the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling']
24,T,T,['What are the potential hazards associated with the product?'],['Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],['2.1. Hazard classification']
25,T,T,['What are the specific health effects or risks associated with exposure to the product?'],"['May be harmful if inhaled. Intentional concentration and inhalation may be harmful or fatal. Simple Asphyxiation: Signs/symptoms may include increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting, lethargy, seizures, coma, and may be fatal. Respiratory Tract Irritation: Signs/symptoms may include cough, sneezing, nasal discharge, headache, hoarseness, and nose and throat pain. Mild Skin Irritation: Signs/symptoms may include localized redness, swelling, itching, and dryness. Eye Contact: Moderate Eye Irritation: Signs/symptoms may include redness, swelling, pain, tearing, and blurred or hazy vision. Ingestion: Gastrointestinal Irritation: Signs/symptoms may include abdominal pain, stomach upset, nausea, vomiting and diarrhea. Central Nervous System (CNS) Depression: Signs/symptoms may include headache, dizziness, drowsiness, incoordination, nausea, slowed reaction time, slurred speech, giddiness, and unconsciousness. Cardiac Sensitization: Signs/symptoms may include irregular heartbeat (arrhythmia), faintness, chest pain, and may be fatal.']",['Signs and Symptoms of Exposure']
26,T,T,['What are the emergency procedures in case of inhalation of the product?'],['Remove person to fresh air and keep comfortable for breathing.'],['SECTION 4: First aid measures']
27,T,T,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures']
28,T,T,['What are the emergency procedures in case of eye contact with the product?'],"['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention.']","['SECTION 4: First aid measures, SECTION 5 is not relevant here']"
29,T,T,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['SECTION 4: First aid measures']
30,T,T,['What is the waste disposal method for the product?'],['Dispose of contents/ container in accordance with the local/regional/national/international regulations. Incinerate uncured product in a permitted waste incineration facility. Dispose of completely cured (or polymerized) material in a permitted industrial waste facility.'],"['SECTION 13: Disposal considerations, SECTION 12: Ecological information']"
31,T,T,['Are there any specific storage requirements or conditions for safely storing the product?'],['Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F. Protect from sunlight. Store in a well-ventilated place. Store away from heat. Store away from acids. Store away from oxidizing agents.'],"['SECTION 7: Handling and storage, SECTION 8: Exposure controls/personal protection']"
32,T,T,['What is the shelf life of the product?'],['Not Applicable'],['SECTION 9: Physical and chemical properties']
33,T,T,['What are the composition and ingredients of the product?'],"['Dimethyl Ether (35 - 45%), Methyl Acetate (25 - 35%), Trade Secret * (10 - 20), Cyclohexane (7 - 13%), 1,1-Difluoroethane (1 - 5%), Pentane (1 - 5%)']",['SECTION 3: Composition/information on ingredients']
34,T,T,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Hazardous polymerization will not occur. Strong oxidizing agents. Strong acids.'],['SECTION 10: Stability and Reactivity']
35,T,T,['What is the odor of the product?'],['Clear sweet fruity odor'],['SECTION 9: Physical and chemical properties']
36,T,T,['What is the boiling point of the product?'],['No Data Available'],['SECTION 4: First aid measures / SECTION 5: Firefighting procedures / SECTION 12: Ecological information / SECTION 13: Disposal considerations / SECTION 14: Transport information / SECTION 15: Regulatory information']
37,T,T,['Is the product flammable?'],['Yes'],"['SECTION 5: Firefighting measures, SECTION 6: Accidental release measures, SECTION 7: Handling and storage']"
38,T,T,['What is the solubility of the product?'],"['Nil Solubility in Water, No Data Available Solubility- non-water']",['SECTION 5: Firefighting measures and SECTION 9: Physical and chemical properties']
