,Question,Answer,Source
0,['What is the product identifier?'],['3M™ Hi-Strength Spray Adhesive 90'],['SECTION 1: Identification']
1,['When was the Safety Data Sheet issued?'],['01/05/17'],"['SECTION 3: Chemical Inventory Information, SECTION 1: Identification']"
2,['What is the product description?'],"['Adhesive, Hi-Strength Aerosol Adhesive']",['SECTION 1: Identification']
3,['Who is the manufacturer of the product?'],['3M DIVISION: Construction and Home Improvement Markets'],['SECTION 1: Identification']
4,['What is the emergency telephone number for the product?'],['1-800-364-3577 or (651) 737-6501'],"['SECTION 1: Identification, SECTION 2: Hazard identification']"
5,['What are the hazard classifications associated with the product?'],"['Flammable Aerosol: Category 1. Gas Under Pressure: Liquefied gas. Serious Eye Damage/Irritation: Category 2B. Simple Asphyxiant. Specific Target Organ Toxicity (single exposure): Category 1, Category 3']",['SECTION 2: Hazard identification']
6,['What is the signal word used for the product?'],['Danger'],['2.2. Label elements']
7,['What are the hazard statements related to the product?'],['Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],['2.1. Hazard classification']
8,['What precautions should be taken while handling the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling']
9,['What are the first aid measures in case of inhalation?'],['Remove person to fresh air. Get medical attention.'],['SECTION 4: First aid measures 4.1. Description of first aid measures']
10,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures']
11,['What are the first aid measures in case of eye contact?'],"['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention.']",['SECTION 4: First aid measures 4.1. Description of first aid measures Eye Contact']
12,['What are the first aid measures in case of ingestion?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['4.1. Description of first aid measures']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Water fog, carbon dioxide, dry chemical']",['Section 5: Firefighting measures']
14,['What are the special hazards arising from the substance during a fire?'],['Closed containers exposed to heat from fire may build pressure and explode. Carbon monoxide During Combustion Carbon dioxide During Combustion Irritant Vapors or Gases During Combustion'],['5.2. Special hazards arising from the substance or mixture']
15,['Are there any special fire handling procedures required for the product?'],['Use a fire fighting agent suitable for the surrounding fire. Closed containers exposed to heat from fire may build pressure and explode.'],"['5.1. Suitable extinguishing media, 5.2. Special hazards arising from the substance or mixture']"
16,"['How should accidental releases, spill, or leak of the product be handled?']","['{""answer"": ""Evacuate area. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Use only non-sparking tools. Ventilate the area with fresh air."", ""source"": ""6.1. Personal precautions, protective equipment and emergency procedures""} \n\nIf possible, seal leaking container. Place leaking containers in a well-ventilated area, preferably an operating exhaust hood, or if necessary outdoors on an impermeable surface until appropriate packaging for the leaking container or its contents is available. Close cylinder. Collect as much of the spilled material as possible using non-sparking tools. Place in a metal container approved for transportation by appropriate authorities. Dispose of collected material as soon as possible.\n\n{""answer"": ""If possible, seal leaking container. Place leaking containers in a well-ventilated area, preferably an operating exhaust hood, or if necessary outdoors on an impermeable surface until appropriate packaging for the leaking container or its contents is available. Close cylinder. Collect as much of the spilled material as possible using non-sparking tools. Place in a metal container approved for transportation by appropriate authorities. Dispose of collected material as soon as possible."", ""source"": ""6.3. Methods and material for containment and cleaning up""}\n']",[JSONDecodeError('Extra data: line 3 column 1 (char 248)')]
17,['What precautions should be taken for safe handling and storage of the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.).']",['SECTION 7: Handling and storage']
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Do not remain in area where available oxygen may be reduced. Use general dilution ventilation and/or local exhaust ventilation to control airborne exposures to below relevant Exposure Limits and/or control dust/fume/gas/mist/vapors/spray. If ventilation is not adequate, use respiratory protection equipment. Select and use eye/face protection to prevent contact based on the results of an exposure assessment. The following eye/face protection(s) are recommended: Indirect Vented Goggles Skin/hand protection Select and use gloves and/or protective clothing approved to relevant local standards to prevent skin contact based on the results of an exposure assessment. Selection should be based on use factors such as exposure levels, concentration of the substance or mixture, frequency and duration, physical challenges such as temperature extremes, and other use conditions. Consult with your glove and/or protective clothing manufacturer for selection of appropriate compatible gloves/protective clothing. Gloves made from the following material(s) are recommended: Nitrile Rubber Respiratory protection An exposure assessment may be needed to decide if a respirator is required. If a respirator is needed, use respirators as part of a full respiratory protection program. Based on the results of the exposure assessment, select from the following respirator type(s) to reduce inhalation exposure: Half facepiece or full facepiece supplied-air respirator Organic vapor respirators may have short service life.']","['SECTION 8: Exposure controls/personal protection, SECTION 9: Physical and chemical properties']"
19,['What are the physical and chemical properties of the product?'],"['Clear sweet fruity odor, Gas, Aerosol, -42.00 ºF, 1.9, Not Applicable, Not Applicable, 2.97, 0.726 g/ml, 0.726, Nil, No Data Available, Not Applicable, Not Applicable, Not Applicable, Not Applicable, 398 g/l']",['SECTION 9: Physical and chemical properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['{""answer"": ""Stable"", ""source"": ""Section 10.2. Chemical stability""} \n\nNote: Although hazardous polymerization will not occur (Section 10.3), this does not imply that the product is unstable or reactive, but rather that it does not undergo a specific type of reaction.\n']",[JSONDecodeError('Extra data: line 3 column 1 (char 69)')]
21,['What are the possible hazardous decomposition products of the product?'],['None known.'],['SECTION 10: Stability and reactivity']
22,['What is the toxicological information available for the product?'],['This material may produce health effects as described in Section 11.1. Information on Toxicological effects'],"['Section 11.1. Information on Toxicological effects, 11.2. Acute and other toxicities from short-term exposure (4 hours), 11.3. Delayed and other toxicities and physiological impairment effects']"
23,['What are the safety precautions and handling instructions for using the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling.']",['7.1. Precautions for safe handling']
24,['What are the potential hazards associated with the product?'],['Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],"['2.1. Hazard classification, 2.2. Label elements']"
25,['What are the specific health effects or risks associated with exposure to the product?'],"['Simple Asphyxiation: Signs/symptoms may include increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting, lethargy, seizures, coma, and may be fatal. Respiratory Tract Irritation: Signs/symptoms may include cough, sneezing, nasal discharge, headache, hoarseness, and nose and throat pain. Mild Skin Irritation: Signs/symptoms may include localized redness, swelling, itching, and dryness. Moderate Eye Irritation: Signs/symptoms may include redness, swelling, pain, tearing, and blurred or hazy vision. Gastrointestinal Irritation: Signs/symptoms may include abdominal pain, stomach upset, nausea, vomiting and diarrhea.']","['Signs and Symptoms of Exposure, 11.1. Information on Toxicological effects']"
26,['What are the emergency procedures in case of inhalation of the product?'],['Remove person to fresh air. Get medical attention.'],['Section 4: First aid measures']
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing. If eye irritation persists: Get medical advice/attention.']","['SECTION 4: First aid measures, IF IN EYES']"
29,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['SECTION 4: First aid measures']
