,Question,Answer,Source
0,['What is the product identifier?'],['Product Name: Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification']
1,['When was the Safety Data Sheet issued?'],['5-15-2015'],['Section 1: Identification']
2,['What is the product description?'],['Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification']
3,['Who is the manufacturer of the product?'],['Avery Products Corporation'],['Section 1: Identification']
4,['What is the emergency telephone number for the product?'],['1-800-222-1222 (Poison Control Center)'],['Section 1: Identification']
5,['What are the hazard classifications associated with the product?'],"['Serious Eye Damage – Category 1, Flammable Liquid']",['Section 2: Hazard(s) Identification']
6,['What is the signal word used for the product?'],['None'],"['Section 1: Identification, Section 16: Other Information']"
7,['What are the hazard statements related to the product?'],"['Causes serious eye damage, Highly flammable liquid vapor']","['Hazard Statement(s), Hazard Statement(s)']"
8,['What precautions should be taken while handling the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Use non-sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection /face protection. Store in well-ventilated place.']","['Section 7: Handling and Storage, Section Symbol(s) Signal Word (s), PRECAUTION TO BE TAKEN DURING HANDLING AND STORAGE']"
9,['What are the first aid measures in case of inhalation?'],['I dont know'],['N/A']
10,['What are the first aid measures in case of skin contact?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 4: First Aid Measures']
11,['What are the first aid measures in case of eye contact?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Section 4: First Aid Measures']
12,['What are the first aid measures in case of ingestion?'],['NONE REQUIRED.'],['Section 4: First Aid Measures']
13,['What are the suitable extinguishing media for a fire involving the product?'],['NO SPECIAL MEDIA REQUIRED'],['Section 5: Fire -Fighting Measures']
14,['What are the special hazards arising from the substance during a fire?'],['Not combustible'],['Section 5: Fire-Fighting Measures']
15,['Are there any special fire handling procedures required for the product?'],['No special fire fighting procedures required.'],['Section 5: Fire-Fighting Measures']
16,"['How should accidental releases, spill, or leak of the product be handled?']","['Clean up in accordance with all applicable regulations. Absorb spillage with non-combustible, absorbent material.']",['Section 6: Accidental Release Measures']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Use non-sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection /face protection. Store in well-ventilated place']","['PRECAUTION TO BE TAKEN DURING HANDLING AND STORAGE, Response']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['When exposure cannot be adequately controlled in this way, personal respiratory protection should be employed. Good industrial hygiene practices requires that exposure be maintained below the TLV. This is preferably achieved through the provision of adequate ventilation.']","['Section 7: Handling and Storage, Section 8: Exposure Controls/Personal Protection']"
19,['What are the physical and chemical properties of the product?'],"['BOILING POINT: N/A, MELTING POINT: N/A, VAPOR PRESSURE: N/A, SPECIFIC VAPOR DENSITY (AIR = 1): N/A, SPECIFIC GRAVITY: N/A, SOLUBILITY IN WATER: N/A']",['Section 9: Physical and Chemical Properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['stable, non-reactive']","['Section 10: Stability and Reactivity, Section 9: Physical and Chemical Properties']"
21,['What are the possible hazardous decomposition products of the product?'],['NONE'],['Section 10: Stability and Reactivity']
22,['What is the toxicological information available for the product?'],"['No harmful effects known other than those associated with the suspended inert solids in water, Serious Eye Damage - Category 1, Highly flammable liquid vapor, Human carcinogen by NTP, IARC or OSHA']","['Section 2: Hazard(s) Identification, Section 1 2: Ecological Information, Section 3: Disposal Considerations, Section 1 4: Transportation Information']"
