,Question,Answer,Source
0,['What is the product identifier?'],['Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification']
1,['When was the Safety Data Sheet issued?'],['5-15-2015'],['SAFETY DATA SHEET 5-15-2015']
2,['What is the product description?'],['Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification Product Name']
3,['Who is the manufacturer of the product?'],['Avery Products Corporation'],['Section 1: Identification']
4,['What is the emergency telephone number for the product?'],['1-800-222-1222'],"['Manufacturer Information, Emergency Phone Number']"
5,['What are the hazard classifications associated with the product?'],"['Serious Eye Damage - Category 1, Flammable Liquid']",['Section 2: Hazard(s) Identification']
6,['What is the signal word used for the product?'],['None'],['Section 1: Identification']
7,['What are the hazard statements related to the product?'],['Causes serious eye damage Highly flammable liquid vapor'],['Hazard Statement(s) Classification in accordance with paragraph (d) of 29 CFR 1910.1200.']
8,['What precautions should be taken while handling the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Wear protective glove/protective clothing/eye protection /face protection.']","['Symbol(s) Signal Word (s), Measures, PRECAUTION TO BE TAKEN DURING HANDLING AND STORAGE']"
9,['What are the first aid measures in case of inhalation?'],['I dont know'],['N/A']
10,['What are the first aid measures in case of skin contact?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 4: First Aid Measures']
11,['What are the first aid measures in case of eye contact?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Section 4: First Aid Measures']
12,['What are the first aid measures in case of ingestion?'],['None Required'],['Section 4: First Aid Measures']
13,['What are the suitable extinguishing media for a fire involving the product?'],['No special media required'],['Section 5: Fire -Fighting Measures']
14,['What are the special hazards arising from the substance during a fire?'],['Highly flammable liquid vapor'],['Section 5: Fire -Fighting Measures']
15,['Are there any special fire handling procedures required for the product?'],['No special fire fighting procedures required'],['Section 5: Fire -Fighting Measures']
16,"['How should accidental releases, spill, or leak of the product be handled?']","['Clean up in accordance with all applicable regulations. Absorb spillage with non-combustible, absorbent material.']",['Section 6: Accidental Release Measures']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Use non-sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection/face protection. Store in well-ventilated place.']","['SAFETY DATA SHEET, Section 7: Handling and Storage, PRECAUTION TO BE TAKEN DURING HANDLING AND STORAGE']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Wear protective glove/protective clothing/eye protection /face protection. When exposure cannot be adequately controlled in this way, personal respiratory protection should be empl oyed.']","['Section 7: Handling and Storage, Section 8: Exposure Controls/Personal Protection']"
19,['What are the physical and chemical properties of the product?'],"['BOILING POINT: N/A, MELTING POINT: N/A, VAPOR PRESSURE: N/A, SPECIFIC VAPOR DENSITY (AIR = 1): N/A, SPECIFIC GRAVITY: N/A, SOLUBILITY IN WATER: N/A']",['Section 9: Physical and Chemical Properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['stable, non-reactive, no hazardous reactions']","['Section 10: Stability and Reactivity, Section 9: Physical and Chemical Properties']"
21,['What are the possible hazardous decomposition products of the product?'],['NONE'],['Section 10: Stability and Reactivity']
22,['What is the toxicological information available for the product?'],"['Not a human carcinogen, No harmful effects known other than those associated with suspended inert solids in water, No harmful substances known.']","['Section 1: Identification, Section 2: Hazard(s) Identification, Section 1: Ecological Information']"
23,['What are the safety precautions and handling instructions for using the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Wear protective glove/protective clothing/eye protection /face protection. Store in well-ventilated place.']","['Precaution to be taken during handling and storage, Symbol(s) Signal Word (s), Hazard Statement(s)']"
24,['What are the potential hazards associated with the product?'],"['Serious Eye Damage – Category 1, Flammable Liquid']",['Section 2: Hazard(s) Identification']
25,['What are the specific health effects or risks associated with exposure to the product?'],"['{""answer"": ""Serious Eye Damage – Category 1"", ""source"": ""Section 2: Hazard(s) Identification""} \n\n(Actually there are no specific health effects or risks associated with exposure to the product, as per Section 4: First Aid Measures FIRST AID MEASURES: NONE REQUIRED. NO ACUTE HEALTH EFFECTS EXPECTED)\n']",[JSONDecodeError('Extra data: line 3 column 1 (char 97)')]
26,['What are the emergency procedures in case of inhalation of the product?'],['No action is required for first aid in cases of inhalation of this product.'],['Section 4: First Aid Measures']
27,['What are the emergency procedures in case of skin contact with the product?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 6: Accidental Release Measures']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Section 3: First Aid Measures']
29,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']","['Section 6: Accidental Release Measures, Section 7: Handling and Storage']"
30,['What is the waste disposal method for the product?'],"['Dispose of in accordance with Federal, State and Local regulations, Dispose Of In Accordance With Federal, State And Local Regulations']",['Section 1.3: Disposal Considerations']
31,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Away from heat, hot surfaces, sparks, open flames and other ignition sources. Store in well -ventilated place.']",['Section 1: Identification AND Section 7: Handling and Storage']
32,['What is the shelf life of the product?'],['Stable'],['Section 10: Stability and Reactivity']
33,['What are the composition and ingredients of the product?'],['N-Propanol'],['Section 3: Composition/Information on Ingredients']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],"['None, Conditions To Avoid: None, Incompatibility (Materials to Avoid): None']","['Section 10: Stability and Reactivity, Section 10: Stability and Reactivity, Section 10: Stability and Reactivity']"
35,['What is the odor of the product?'],['No information available'],['Section 7: Handling and Storage']
36,['What is the boiling point of the product?'],['N/A'],['Section 9: Physical and Chemical Properties']
37,['Is the product flammable?'],['Yes'],"['Section 5: Fire -Fighting Measures, Section 7: Handling and Storage']"
38,['What is the solubility of the product?'],['N/A'],['Section 9: Physical and Chemical Properties']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['Yes, stable conditions are: NONE; No hazardous decomposition products']","['Section 10: Stability and Reactivity, Section 10: Stability and Reactivity']"
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['NONE REQUIRED ENGINEERING CONTROLS: NONE REQUIRED OTHER PROTECTIVE EQUIPMENT (GLOVES, GOGGLES, ETC): NONE REQUIRED RESPIRATORY PROTECTION AND SPECIAL VENTILATION REQUIREMENTS: NONE REQUIRED WORK/HYGIENE PRACTICES: NONE REQUIRED']",['Section 8: Exposure Controls/Personal Protection']
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Dispose of in accordance with Federal, State and Local regulations; Store in well-ventilated place']","['Section 6: Accidental Release Measures, Section 7: Handling and Storage']"
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['No'],"['Section 3: Composition/Information on Ingredients, Section 10: Stability and Reactivity']"
