,Question,Answer,Source
0,['What is the product identifier?'],['Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification']
1,['When was the Safety Data Sheet issued?'],['5-15-2015'],['Section 1: Identification']
2,['What is the product description?'],['Permanent markers inks'],['Section 1: Identification']
3,['Who is the manufacturer of the product?'],['Avery Products Corporation'],['Section 1: Identification']
4,['What is the emergency telephone number for the product?'],"['1-800-222-1222 (Poison Control Center), 800 -462-8379']","['Section 1: Identification, Section 1: Identification']"
5,['What are the hazard classifications associated with the product?'],"['Serious Eye Damage - Category 1, Flammable Liquid, Causes serious eye damage Highly flammable liquid vapor']","['Section 2: Hazard(s) Identification, Section 2: Hazard(s) Identification']"
6,['What is the signal word used for the product?'],['Danger'],['Symbol(s) Signal Word (s)']
7,['What are the hazard statements related to the product?'],['Causes serious eye damage Highly flammable liquid vapor'],['Section 2: Hazard(s) Identification']
8,['What precautions should be taken while handling the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection /face protection. Store in well-ventilated place.']","['Section 7: Handling and Storage, Symbol(s) Signal Word (s), Measures']"
9,['What are the first aid measures in case of inhalation?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.']",['Section 6: Accidental Release Measures']
10,['What are the first aid measures in case of skin contact?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 4: First Aid Measures']
11,['What are the first aid measures in case of eye contact?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.']",['Section 4: First Aid Measures']
12,['What are the first aid measures in case of ingestion?'],['I dont know'],['N/A']
13,['What are the suitable extinguishing media for a fire involving the product?'],['NO SPECIAL MEDIA REQUIRED'],['Section 5: Fire -Fighting Measures']
14,['What are the special hazards arising from the substance during a fire?'],['Highly flammable liquid vapor'],['Section 5: Fire -Fighting Measures']
