,Source(T/F),Answer(T/F),Question,Answer,Source
0,T,T,['What is the product identifier?'],['Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification']
1,T,T,['When was the Safety Data Sheet issued?'],['5-15-2015'],['SAFETY DATA SHEET 5-15-2015']
2,T,T,['What is the product description?'],['Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification Product Name']
3,T,T,['Who is the manufacturer of the product?'],['Avery Products Corporation'],['Section 1: Identification']
4,T,T,['What is the emergency telephone number for the product?'],['1-800-222-1222'],['Manufacturer Information']
5,T,T,['What are the hazard classifications associated with the product?'],"['Serious Eye Damage - Category 1, Flammable Liquid']",['Section 2: Hazard(s) Identification']
6,F,F,['What is the signal word used for the product?'],['None'],['Section 1: Identification']
7,T,T,['What are the hazard statements related to the product?'],['Causes serious eye damage Highly flammable liquid vapor'],"['Hazard Statement(s), Precaution Statement(s)']"
8,T,T,['What precautions should be taken while handling the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment.']","['Symbol(s) Signal Word (s) Danger Hazard Statement(s), PRECAUTION TO BE TAKEN DURING HANDLING AND STORAGE']"
9,T,T,['What are the first aid measures in case of inhalation?'],['NONE REQUIRED.'],['Section 4: First Aid Measures']
10,F,T,['What are the first aid measures in case of skin contact?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 4: First Aid Measures']
11,F,T,['What are the first aid measures in case of eye contact?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Section 4: First Aid Measures']
12,T,T,['What are the first aid measures in case of ingestion?'],['I dont know'],['N/A']
13,T,T,['What are the suitable extinguishing media for a fire involving the product?'],['no special media required'],['Section 5: Fire -Fighting Measures']
14,T,T,['What are the special hazards arising from the substance during a fire?'],['None'],['Section 5: Fire -Fighting Measures']
15,T,T,['Are there any special fire handling procedures required for the product?'],"['NO SPECIAL FIRE FIGHTING PROCEDURES REQUIRED, NOT COMBUSTIBLE']","['Section 5: Fire-Fighting Measures, Section 10: Stability and Reactivity']"
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']","['Clean up in accordance with all applicable regulations. Absorb spillage with non-combustible, absorbent material.']",['Section 6: Accidental Release Measures']
17,F,T,['What precautions should be taken for safe handling and storage of the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Use non-sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection/face protection. Store in well-ventilated place.']","['SAFETY DATA SHEET, Section 7: Handling and Storage, Section 6: Accidental Release Measures']"
18,T,F,['What are the exposure controls and personal protection measures recommended for the product?'],"['Wear protective glove/protective clothing/eye protection /face protection. When exposure cannot be adequately controlled in this way, personal respiratory protection should be empl oyed.']","['Section 7: Handling and Storage, Section 8: Exposure Controls/Personal Protection']"
19,T,T,['What are the physical and chemical properties of the product?'],"['BOILING POINT: N/A, MELTING POINT: N/A, VAPOR PRESSURE: N/A, SPECIFIC VAPOR DENSITY (AIR = 1): N/A, SPECIFIC GRAVITY: N/A, SOLUBILITY IN WATER: N/A']",['Section 9: Physical and Chemical Properties']
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['stable, non-reactive']",['Section 10: Stability and Reactivity']
21,T,T,['What are the possible hazardous decomposition products of the product?'],['NONE'],['Section 10: Stability and Reactivity']
22, T,T,['What is the toxicological information available for the product?'],['No harmful effects known other than those associated with the suspended inert solids in water'],['Section 1:2 Ecological Information']
23,T,T,['What are the safety precautions and handling instructions for using the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment.']",['Symbol(s) Signal Word (s) Danger Hazard Statement(s) Causes serious eye damage Highly flammable liquid vapor Precaution Statement(s) Prevention']
24,T,T,['What are the potential hazards associated with the product?'],"['Serious Eye Damage ??Category 1, Flammable Liquid']",['Section 2: Hazard(s) Identification']
25,T,T,['What are the specific health effects or risks associated with exposure to the product?'],"['Serious Eye Damage, Flammable Liquid, No acute health effects expected']","['Section 2: Hazard(s) Identification, Section 4: First Aid Measures']"
26,F,F,['What are the emergency procedures in case of inhalation of the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']","['Section 3: Composition/Information on Ingredients, Response']"
27,T,T,['What are the emergency procedures in case of skin contact with the product?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 6: Accidental Release Measures and Section 4: First Aid Measures']
28,T,T,['What are the emergency procedures in case of eye contact with the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Response Section 6']
29,F,F,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Response Section 3: First Aid Measures']
30,T,T,['What is the waste disposal method for the product?'],"['Dispose of in accordance with federal, state and local regulations, Dispose of in a landfill or incineration facility.']","['Section 1 3: Disposal Considerations, Section 6: Accidental Release Measures']"
