,Question,Answer,Source
0,['What is the product identifier?'],['BioRem-2000 Surface Cleaner'],['1. Product and Company Identification']
1,['When was the Safety Data Sheet issued?'],['The Safety Data Sheet was issued on 5/1/2015.'],['Issue: GHS changes to Sections 2 & 3. Prepared by: J. Pickett Approved by: C. Matthews Approval Date of Issue: 5/1/2015']
2,['What is the product description?'],['An amber liquid.'],['1. Product and Company Identification']
3,['Who is the manufacturer of the product?'],"['Emergency Telephone Clift Industries, Inc.']",['1. Product and Company Identification']
4,['What is the emergency telephone number for the product?'],['800-424-9300'],['Product and Company Identification']
5,['What are the hazard classifications associated with the product?'],"['Acute toxicity, Oral, Dermal, Inhalation Category 5 Eye Irritation, Category 2B']",['Hazards Identification']
6,['What is the signal word used for the product?'],['Warning!'],['2. Hazards Identification']
7,['What are the hazard statements related to the product?'],['H303+H313 +H333 H320'],['Hazards Identification']
8,['What precautions should be taken while handling the product?'],['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling.'],['Handling Precautions']
9,['What are the first aid measures in case of inhalation?'],"['Not normally required. Move to fresh air. If symptoms persist, get medical attention.']",['4. First Aid Measures']
10,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If irritation persists, contact a physician.']",['First Aid Measures']
11,['What are the first aid measures in case of eye contact?'],"['Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.']",['4. First Aid Measures Eye Contact :']
12,['What are the first aid measures in case of ingestion?'],['Contact a physician if ingested.'],['4. First Aid Measures']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Water spray, dry chemical or carbon dioxide.']",['5. Fire Fighting Measures Extinguishing Media and 5. Special Fire Fighting Procedures']
14,['What are the special hazards arising from the substance during a fire?'],['Carbon monoxide and/or carbon dioxide.'],"['5. Fire Fighting Measures, Hazardous Combustion Products']"
15,['Are there any special fire handling procedures required for the product?'],['None required.'],['5. Fire Fighting Measures and 6. Accidental Release Measures']
16,"['How should accidental releases, spill, or leak of the product be handled?']","['If material is unused, collect and recover for reuse. Wear protective equipment.']",['Accidental Release Measures Spill or Leak Procedures']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling. Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']",['7. Handling and Storage']
18,['What are the exposure controls and personal protection measures recommended for the product?'],['Use adequate ventilation to keep airborne concentrations low. PERSONAL PROTECTION Eyes : Safety goggles or glass with side shields Respirator : NIOSH/MSHA approved respirator when ventilation is inadequate. Gloves : Impervious gloves.'],['8. Exposure Controls/Personal Protection Engineering Controls']
