,Question,Answer,Source
0,['What is the product identifier?'],['Product Name: NAPA DOT 3 BRAKE FLUID'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
1,['When was the Safety Data Sheet issued?'],"['Issue Date: March 5, 2014 and Revised: April 2, 2015']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
2,['What is the product description?'],['Brake Fluid. General Use: Brake Fluid.'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
3,['Who is the manufacturer of the product?'],"['Warren Unilube, Inc.']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
4,['What is the emergency telephone number for the product?'],"['1-800-424-9300 and (800) 428-9284, FAX: (870) 400-3070']",['SECTION 1: PRODUCT A ND COMPANY IDENTIFICATION and SECTION 7: HANDLING AND STORAGE']
5,['What are the hazard classifications associated with the product?'],"['OSHA Hazards: Target Organ Effect, Harmful by ingestion, Irritant, Teratogen, Reproductive hazard; GHS Classification: Acute toxicity, dermal (Category 5), Acute toxicity, oral (Category 4), Skin Irritation (Category 3), Serious eye damage (Category 1), Reproductive toxicity (Category 2).']",['SECTION 2: HAZARD(S) IDENTIFICATION and GHS Classification']
6,['What is the signal word used for the product?'],['WARNING'],"['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES GHS Classification: Acute toxicity, dermal (Category 5) Acute toxicity, oral (Category 4) Skin Irritation (Category 3) Serious eye damage (Category 1) Reproductive toxicity (Category 2)']"
7,['What are the hazard statements related to the product?'],"['H302 Harmful if swallowed, H313 May be harmful in contact with skin, H316 Causes mild skin irritation, H318 Causes serious eye damage, H361 Suspected of damaging fertility or the unborn child']",['GHS Classification']
8,['What precautions should be taken while handling the product?'],"['May be harmful or fatal if swallowed. Wear protective eyeglasses or chemical safety goggles, wear chemically protective gloves, boots, aprons and gauntlets to prevent prolonged or repeated skin contact. Never eat, drink or smoke in work areas. Practice good personal hygiene after using this material.']","['SECTION 7: HANDLING AND STORAGE, SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION, WORK HYGIENIC PRACTICES']"
9,['What are the first aid measures in case of inhalation?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. Consult a physician.']",['INHALATION']
10,['What are the first aid measures in case of skin contact?'],"['If skin irritation occurs, get medical advice / attention. Wash with plenty of soap and water.']",['SECTION 4: FIRST AID MEASURES']
11,['What are the first aid measures in case of eye contact?'],['Wear protective eyeglasses or chemical safety goggles.'],['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']
12,['What are the first aid measures in case of ingestion?'],['Never give anything by mouth to an unconscious person. Rinse mouth with water. Consult a physician.'],['INGESTION']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Dry chemical, foam or carbon dioxide. Water spray may be used to keep fire exposed containers cool, dilute spills to nonflammable mixtures, protect personnel attempting to stop leak, and disperse vapors.']",['SECTION 5: FIRE-FIGHTING MEASURES SUITABLE EXTINGUISHING MEDIA']
14,['What are the special hazards arising from the substance during a fire?'],"['Carbon monoxide, carbon dioxide, and unidentified organic compounds.']",['FIRE-FIGHTING MEASURES']
15,['Are there any special fire handling procedures required for the product?'],['Evacuate area. Do not use direct water stream to extinguish fires. Do not release runoff from fire control methods to sewers or waterways.'],"['FIRE-FIGHTING MEASURES, SPECIAL FIRE FIGHTING PROCEDURES']"
16,"['How should accidental releases, spill, or leak of the product be handled?']",['Contain and recover liquid when possible. Collect liquid in appropriate container or absorb with an inert material (such as vermiculite or dry sand) and place in chemical waste container. Do not allow material to enter sewers or waterways. Dike far ahead of liquid spill for later disposal.'],['SECTION 6: ACCIDENTAL RELEASE MEASURES']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Store in a cool dry, ventilated area. Wear protective eyeglasses or chemical safety goggles when handling.']",['SECTION 7: HANDLING AND STORAGE and EYE PROTECTION']
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Controls should be such that adequate ventilation is provided. Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Wear protective eyeglasses or chemical safety goggles, chemically protective gloves, boots, aprons, and gauntlets. Respirators may also be necessary depending on the working conditions and level of contamination.']",['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
19,['What are the physical and chemical properties of the product?'],['The product is a liquid with a yellow to amber appearance and a mild odor. It has a flash point of >275°F (>135°C) and is stable at room temperature in closed containers under normal storage and handling conditions.'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['The product is stable at room temperature in closed containers under normal storage and handling conditions. Thermal oxidative decomposition can produce carbon monoxide, carbon dioxide and unknown organic compounds.']",['SECTION 10: STABILITY AND REACTIVITY']
21,['What are the possible hazardous decomposition products of the product?'],"['Carbon monoxide, carbon dioxide and unknown organic compounds.']",['SECTION 10: STABILITY AND REACTIVITY']
